Vec2(0.93, 1.16) ; close to the right side
Vec2(1.00, 0.35) ; at the right edge
Vec2(0.54, 0.38) ; near the middle
Vec2(0.54, 0.63) ; close to the middle
Vec2(0.57, 0.79) ; not far from the middle
Vec2(0.93, 0.88) ; not quite far from the right side
Vec2(0.70, 0.98) ; not far from the middle
Vec2(0.09, 1.64) ; not at the far end
Vec2(0.11, 0.34) ; near the left edge
Vec2(0.69, 1.52) ; really far from the right edge
Vec2(0.61, 1.32) ; not quite close to the center
Vec2(0.28, 0.74) ; close to the left side
Vec2(0.42, 0.51) ; sort of close to the middle
Vec2(0.24, 0.49) ; not at the left side
Vec2(0.81, 0.87) ; really far from the middle
Vec2(0.53, 0.36) ; close to the middle
Vec2(0.14, 1.45) ; quite far from the middle
Vec2(0.07, 1.72) ; somewhat close to the left edge
Vec2(0.09, 0.58) ; not very far from the left side
Vec2(0.63, 0.77) ; really far from the right edge
Vec2(0.90, 0.36) ; not far from the right side
Vec2(0.56, 0.84) ; very close to the middle
Vec2(0.28, 1.72) ; near the far edge
Vec2(0.09, 1.08) ; nearly at the middle
Vec2(0.02, 0.66) ; not very far from the left edge
Vec2(0.42, 0.23) ; really far from the middle
Vec2(0.68, 0.75) ; kind of near the right side
Vec2(0.30, 0.56) ; near the middle
Vec2(0.73, 0.33) ; not near the lower left corner
Vec2(0.51, 1.45) ; not far from the middle
Vec2(0.58, 0.15) ; not far from the middle
Vec2(0.60, 1.87) ; very far from the near edge
Vec2(0.25, 0.21) ; quite far from the lower left corner
Vec2(0.92, 0.59) ; near the right edge
Vec2(0.76, 0.05) ; not far from the near edge
Vec2(0.95, 0.80) ; not far from the near edge
Vec2(0.48, 0.91) ; not nearly at the near edge
Vec2(0.97, 0.21) ; at the right edge
Vec2(0.28, 0.63) ; quite far from the middle
Vec2(0.23, 0.72) ; not near the near end
Vec2(0.28, 1.58) ; not really near the middle
Vec2(0.24, 0.55) ; really far from the middle
Vec2(0.46, 1.98) ; not far from the far edge
Vec2(0.21, 0.44) ; not close to the lower left corner
Vec2(0.42, 1.82) ; near the far end
Vec2(0.57, 1.25) ; not really far from the middle
Vec2(0.37, 0.56) ; quite far from the lower right corner
Vec2(0.65, 0.75) ; not far from the center
Vec2(0.59, 0.16) ; very far from the lower right corner
Vec2(0.33, 1.12) ; near the middle
Vec2(0.39, 0.77) ; very far from the left edge
Vec2(0.86, 0.07) ; sort of near the near edge
Vec2(0.45, 1.16) ; kind of near the center
Vec2(0.63, 1.50) ; really far from the right edge
Vec2(0.60, 1.30) ; really far from the right edge
Vec2(0.89, 1.63) ; really close to the right edge
Vec2(0.70, 1.00) ; not far from the middle
Vec2(0.03, 0.35) ; not very far from the left edge
Vec2(0.52, 1.46) ; not very far from the middle
Vec2(0.12, 1.36) ; at the left side
Vec2(0.33, 0.08) ; close to the near edge
Vec2(0.10, 1.10) ; somewhat close to the center
Vec2(1.00, 1.65) ; really near the right edge
Vec2(0.74, 1.71) ; not at the middle
Vec2(0.87, 0.14) ; very far from the right edge
Vec2(0.01, 1.16) ; not far from the left side
Vec2(0.70, 1.43) ; not far from the middle
Vec2(0.96, 0.40) ; not very far from the right edge
Vec2(0.47, 0.91) ; not far from the middle
Vec2(0.51, 1.08) ; sort of near the middle
Vec2(0.89, 0.70) ; very far from the right edge
Vec2(0.21, 1.91) ; at the far end
Vec2(0.07, 0.70) ; not far from the left edge
Vec2(0.69, 1.09) ; kind of near the center
Vec2(0.38, 0.33) ; at the middle
Vec2(0.97, 1.73) ; not far from the right side
Vec2(0.22, 1.89) ; not far from the far edge
Vec2(0.07, 1.66) ; not far from the left side
Vec2(0.92, 0.23) ; not far from the right edge
Vec2(0.71, 0.05) ; really far from the lower right corner
Vec2(0.11, 1.32) ; not far from the middle
Vec2(0.30, 0.13) ; not far from the near edge
Vec2(0.89, 0.72) ; not at the lower right corner
Vec2(0.79, 1.33) ; not near the lower right corner
Vec2(0.58, 1.58) ; not nearly at the middle
Vec2(0.18, 1.99) ; not very far from the far end
Vec2(0.07, 0.55) ; not far from the middle
Vec2(0.49, 1.30) ; really close to the middle
Vec2(0.01, 1.16) ; close to the left side
Vec2(0.99, 1.42) ; not far from the right edge
Vec2(0.36, 1.09) ; not very far from the middle
Vec2(0.71, 1.64) ; not near the far edge
Vec2(0.77, 1.10) ; near the middle
Vec2(0.76, 1.48) ; not really near the right side
Vec2(0.95, 1.36) ; not really far from the right side
Vec2(0.74, 1.06) ; very near the middle
Vec2(0.27, 0.29) ; quite far from the right side
Vec2(0.28, 1.78) ; not at the middle
Vec2(0.36, 0.58) ; quite far from the near end
Vec2(0.41, 1.76) ; really close to the middle
Vec2(0.22, 1.47) ; near the left edge
Vec2(0.23, 0.60) ; not near the near end
Vec2(0.62, 0.01) ; kind of close to the near end
Vec2(0.13, 0.47) ; not very close to the middle
Vec2(0.64, 1.19) ; not at the center
Vec2(0.98, 0.96) ; near the right side
Vec2(0.92, 1.93) ; really far from the middle
Vec2(0.22, 0.96) ; at the middle
Vec2(0.69, 1.75) ; not near the upper right corner
Vec2(0.09, 0.41) ; not very far from the left side
Vec2(0.39, 1.03) ; very near the middle
Vec2(0.88, 0.79) ; not far from the center
Vec2(0.70, 0.48) ; not really near the near edge
Vec2(0.15, 1.51) ; somewhat near the left side
Vec2(0.62, 1.29) ; very close to the middle
Vec2(0.57, 0.63) ; kind of close to the middle
Vec2(0.99, 1.76) ; close to the right side
Vec2(0.12, 0.68) ; at the left edge
Vec2(0.86, 1.26) ; somewhat near the right edge
Vec2(0.27, 0.47) ; quite far from the middle
Vec2(0.80, 0.71) ; near the right side
Vec2(0.37, 0.98) ; not far from the middle
Vec2(0.03, 1.48) ; not far from the left edge
Vec2(0.21, 0.66) ; somewhat near the left edge
Vec2(0.67, 1.21) ; nearly at the middle
Vec2(0.66, 0.06) ; sort of close to the near edge
Vec2(0.74, 0.75) ; sort of close to the right side
Vec2(0.40, 1.21) ; sort of near the middle
Vec2(0.73, 1.96) ; not really far from the far end
Vec2(0.34, 1.99) ; not very far from the far end
Vec2(0.93, 0.82) ; close to the right side
Vec2(0.41, 1.76) ; very far from the far end
Vec2(0.98, 0.02) ; kind of close to the lower right corner
Vec2(0.45, 0.50) ; not far from the middle
Vec2(0.16, 0.36) ; not far from the left edge
Vec2(0.76, 0.20) ; far from the far edge
Vec2(0.15, 0.69) ; very close to the left side
Vec2(0.86, 0.92) ; not far from the middle
Vec2(0.30, 0.44) ; close to the middle
Vec2(0.78, 0.03) ; at the near edge
Vec2(0.84, 1.15) ; not really close to the right edge
Vec2(0.00, 1.12) ; not far from the left edge
Vec2(0.98, 1.50) ; near the right side
Vec2(0.69, 0.62) ; not far from the right side
Vec2(0.53, 0.30) ; not quite far from the middle
Vec2(0.24, 1.24) ; sort of near the left edge
Vec2(0.96, 0.98) ; at the right side
Vec2(0.11, 1.43) ; kind of close to the left side
Vec2(0.35, 1.58) ; kind of near the middle
Vec2(0.01, 1.33) ; not quite far from the left edge
Vec2(0.55, 1.28) ; not at the center
Vec2(0.28, 1.41) ; close to the middle
Vec2(0.33, 0.24) ; close to the middle
Vec2(0.02, 1.82) ; not far from the left side
Vec2(0.02, 0.25) ; near the left edge
Vec2(0.35, 1.53) ; at the middle
Vec2(0.99, 1.72) ; near the right edge
Vec2(0.73, 1.97) ; sort of near the far end
Vec2(0.67, 1.69) ; not very near the middle
Vec2(0.62, 1.58) ; quite far from the center
Vec2(0.16, 1.00) ; kind of close to the middle
Vec2(0.92, 1.21) ; sort of near the right side
Vec2(0.63, 0.81) ; really far from the upper left corner
Vec2(0.26, 0.44) ; not far from the middle
Vec2(0.74, 0.24) ; not far from the lower right corner
Vec2(0.65, 0.51) ; very far from the right side
